manufacturer;model_name;detail_name;hsn;tsn;displacement;power;year_from;year_to;engine_type;target_bucket
Porsche;Cayenne;92A (CAYENNE 4.2 TDI);0583;AGE;4134;281;2012;2018;Diesel;1
Porsche;Panamera;971 (PANAMERA ST 4S 4.0 D);0583;AKI;3956;310;2017;2019;Diesel;1
Porsche;Panamera;971 (PANAMERA 4S 4.0 D);0583;AJQ;3956;310;2016;2019;Diesel;1
Porsche;Cayenne;92A (CAYENNE 3.0 TDI);0583;ADK;2967;155;2010;2018;Diesel;1
Porsche;Cayenne;92A (CAYENNE 3.0 TDI);0583;ADJ;2967;155;2010;2018;Diesel;1
Porsche;Cayenne;92A (CAYENNE 3.0 TDI);0583;AIA;2967;184;2014;2018;Diesel;1
Porsche;Cayenne;92A (CAYENNE 3.0 TDI);0583;AHZ;2967;193;2014;2018;Diesel;1
Porsche;Macan;95B (MACAN S DIESEL 3.0);0583;AHK;2967;184;2014;2019;Diesel;1
VW;Touareg;7P (TOUAREG 3.0 TDI);0603;ASX;2967;150;2010;2018;Diesel;1
VW;Touareg;7P (TOUAREG 3.0 TDI);0603;ASS;2967;150;2010;2018;Diesel;1
VW;Touareg;7P (TOUAREG 3.0 TDI);0603;BQO;2967;193;2014;2018;Diesel;1
Audi;Q5;8R (Q5 2.0 TDI);0588;AQI;1968;105;2010;2016;Diesel;2
Audi;Q5;8R (Q5 2.0 TDI QUATTRO);0588;ALH;1968;105;2009;2016;Diesel;2
Audi;Q5;8R (Q5 2.0 TDI QUATTRO);0588;AIW;1968;125;2008;2017;Diesel;2
Audi;Q5;8R (Q5 2.0 TDI QUATTRO);0588;AVU;1968;130;2012;2016;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFH;1968;100;2010;2019;Diesel;2
Seat;Alhambra;7N (ALHAMBRA 2.0 TDI);7593;AFK;1968;100;2010;2019;Diesel;2
